S.No,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death
1,03-12-2019,India,74,71,3,0
2,04-12-2019,India,75,71,3,1
3,05-12-2019,India,84,72,10,2
4,06-12-2019,India,107,95,10,2
5,07-12-2019,India,114,99,13,2
6,08-12-2019,India,137,120,14,3
7,09-12-2019,India,146,129,14,3
8,10-12-2019,India,166,148,15,3
9,11-12-2019,India,195,171,20,4
10,12-12-2019,India,258,231,23,4
11,13-12-2019,India,360,329,24,7
12,14-12-2019,India,433,402,24,7
13,15-12-2019,India,492,446,37,9
14,16-12-2019,India,519,469,40,10
15,17-12-2019,India,649,593,43,13
16,18-12-2019,India,724,640,67,17
17,19-12-2019,India,909,810,80,19
18,20-12-2019,India,979,867,87,25
19,21-12-2019,India,1071,942,100,29
20,22-12-2019,India,1397,1238,124,35
21,23-12-2019,India,1637,1466,133,38
22,24-12-2019,India,1965,1764,151,50
23,25-12-2019,India,2301,2088,157,56
24,26-12-2019,India,2902,2650,184,68
25,27-12-2019,India,3374,3030,267,77
26,28-12-2019,India,4067,3666,292,109
27,29-12-2019,India,4421,3981,326,114
28,30-12-2019,India,5194,4643,402,149
29,31-12-2019,India,5734,5095,473,166
30,01-01-2020,India,6412,5709,504,199
31,02-01-2020,India,7447,6565,643,239
32,03-01-2020,India,8356,7367,716,273
33,04-01-2020,India,9152,7987,857,308
34,05-01-2020,India,10363,8988,1036,339
35,06-01-2020,India,11439,9756,1306,377
36,07-01-2020,India,12380,10477,1489,414
37,08-01-2020,India,13387,11201,1749,437
38,09-01-2020,India,14378,11906,1992,480
39,10-01-2020,India,15712,12974,2231,507
40,11-01-2020,India,17265,14175,2547,543
41,12-01-2020,India,18601,14759,3252,590
42,13-01-2020,India,19984,15474,3870,640
43,14-01-2020,India,21393,16454,4258,681
44,15-01-2020,India,23077,17610,4749,718
45,16-01-2020,India,24506,18668,5063,775
46,17-01-2020,India,26496,19868,5804,824
47,18-01-2020,India,27892,20835,6185,872
48,19-01-2020,India,29435,21632,6869,934
49,20-01-2020,India,31332,22629,7696,1007
50,21-01-2020,India,33050,23651,8325,1074
51,22-01-2020,India,35043,25007,8889,1147
52,23-01-2020,India,37336,26167,9951,1218
53,24-01-2020,India,39980,28046,10633,1301
54,25-01-2020,India,42533,29453,11707,1373
55,26-01-2020,India,46433,32138,12727,1568
56,27-01-2020,India,49390,33513,14183,1694
57,28-01-2020,India,52951,35901,15267,1783
58,29-01-2020,India,56341,37915,16540,1886
59,30-01-2020,India,59662,39834,17847,1981
60,31-01-2020,India,62939,41472,19358,2109
61,01-02-2020,India,67152,44029,20917,2206
62,02-02-2020,India,70756,46008,22455,2293
63,03-02-2020,India,74281,47480,24386,2415
64,04-02-2020,India,78003,49219,26235,2549
65,05-02-2020,India,81970,51401,27920,2649
66,06-02-2020,India,85940,53035,30153,2752
67,07-02-2020,India,90927,53946,34109,2872
68,08-02-2020,India,96169,56316,36824,3029
69,09-02-2020,India,101139,58802,39174,3163
70,10-02-2020,India,106750,61149,42298,3303
71,11-02-2020,India,112359,63624,45300,3435
72,12-02-2020,India,118447,66330,48534,3583
73,13-02-2020,India,125101,69597,51784,3720
74,14-02-2020,India,131868,73560,54441,3867
75,15-02-2020,India,138845,77103,57721,4021
76,16-02-2020,India,145380,80722,60491,4167
77,17-02-2020,India,151767,83004,64426,4337
78,18-02-2020,India,158333,86110,67692,4531
79,19-02-2020,India,165799,89987,71106,4706
80,20-02-2020,India,173763,86422,82370,4971
81,21-02-2020,India,182143,89995,86984,5164
82,22-02-2020,India,190535,93322,91819,5394
83,23-02-2020,India,198706,97581,95527,5598
84,24-02-2020,India,207615,101497,100303,5815
85,25-02-2020,India,216919,106737,104107,6075
86,26-02-2020,India,226770,110960,109462,6348
87,27-02-2020,India,236657,115942,114073,6642
88,28-02-2020,India,246628,120406,119293,6929
89,29-02-2020,India,256611,125381,124095,7135
90,01-03-2020,India,266598,129917,129215,7466
91,02-03-2020,India,276583,133632,135206,7745
92,03-03-2020,India,286579,137448,141029,8102
93,04-03-2020,India,297535,141842,147195,8498
94,05-03-2020,India,308993,145779,154330,8884
95,06-03-2020,India,320922,149348,162379,9195
96,07-03-2020,India,332424,153106,169798,9520
97,08-03-2020,India,343091,153178,180013,9900
98,09-03-2020,India,354065,155227,186935,11903
99,10-03-2020,India,366946,160384,194325,12237
100,11-03-2020,India,380532,163248,204711,12573
101,12-03-2020,India,395048,168269,213831,12948
102,13-03-2020,India,410461,169451,227756,13254
103,14-03-2020,India,425282,174387,237196,13699
104,15-03-2020,India,440215,178014,248190,14011
105,16-03-2020,India,456183,183022,258685,14476
106,17-03-2020,India,473105,186514,271697,14894
107,18-03-2020,India,490401,189463,285637,15301
108,19-03-2020,India,508953,197387,295881,15685
109,20-03-2020,India,528859,203051,309713,16095
110,21-03-2020,India,548318,210120,321723,16475
111,22-03-2020,India,566840,215125,334822,16893
112,23-03-2020,India,585493,220114,347979,17400
113,24-03-2020,India,604641,226947,359860,17834
114,25-03-2020,India,625544,227439,379892,18213
115,26-03-2020,India,648315,235433,394227,18655
116,27-03-2020,India,673165,244814,409083,19268
117,28-03-2020,India,697413,253287,424433,19693
118,29-03-2020,India,719665,259557,439948,20160
119,30-03-2020,India,742417,264944,456831,20642
120,31-03-2020,India,767296,269789,476378,21129
121,01-04-2020,India,793802,276685,495513,21604
122,02-04-2020,India,820916,283407,515386,22123
123,03-04-2020,India,849553,292258,534621,22674
124,04-04-2020,India,878254,301609,553471,23174
125,05-04-2020,India,906752,311565,571460,23727
126,06-04-2020,India,936181,319840,592032,24309
127,07-04-2020,India,968876,331146,612815,24915
128,08-04-2020,India,1003832,342473,635757,25602
129,09-04-2020,India,1038716,358692,653751,26273
130,10-04-2020,India,1077618,373379,677423,26816
131,11-04-2020,India,1118043,390459,700087,27497
132,12-04-2020,India,1155191,402529,724578,28084
133,13-04-2020,India,1192915,411133,753050,28732
134,14-04-2020,India,1238635,426167,782607,29861
135,15-04-2020,India,1287945,440135,817209,30601
136,16-04-2020,India,1336861,456071,849432,31358
137,17-04-2020,India,1385522,467882,885577,32063
138,18-04-2020,India,1435453,485114,917568,32771
139,19-04-2020,India,1483156,496988,952743,33425
140,20-04-2020,India,1531669,509447,988029,34193
141,21-04-2020,India,1583792,528242,1020582,34968
142,22-04-2020,India,1638870,545318,1057805,35747
143,23-04-2020,India,1695988,565103,1094374,36511
144,24-04-2020,India,1750723,567730,1145629,37364
145,25-04-2020,India,1803695,579357,1186203,38135
146,26-04-2020,India,1855745,586298,1230509,38938
147,27-04-2020,India,1908254,586244,1282215,39795
148,28-04-2020,India,1964536,595501,1328336,40699
149,29-04-2020,India,2027074,607384,1378105,41585
150,30-04-2020,India,2088611,619088,1427005,42518
151,01-05-2020,India,2153010,628747,1480884,43379
152,02-05-2020,India,2215074,634945,1535743,44386
153,03-05-2020,India,2268675,639929,1583489,45257
154,04-05-2020,India,2329638,643948,1639599,46091
155,05-05-2020,India,2396637,653622,1695982,47033
156,06-05-2020,India,2461190,661595,1751555,48040
157,07-05-2020,India,2526192,668220,1808936,49036
158,08-05-2020,India,2589682,677444,1862258,49980
159,09-05-2020,India,2647663,676900,1919842,50921
160,10-05-2020,India,2702742,673166,1977779,51797
161,11-05-2020,India,2767273,676514,2037870,52889
162,12-05-2020,India,2836925,686395,2096664,53866
163,13-05-2020,India,2905823,692028,2158946,54849
164,14-05-2020,India,2975701,697330,2222577,55794
165,15-05-2020,India,3044940,707668,2280566,56706
166,16-05-2020,India,3106348,710771,2338035,57542
167,17-05-2020,India,3167323,704348,2404585,58390
168,18-05-2020,India,3234474,707267,2467758,59449
169,19-05-2020,India,3310234,725991,2523771,60472
170,20-05-2020,India,3387500,742023,2583948,61529
171,21-05-2020,India,3463972,752424,2648998,62550
172,22-05-2020,India,3542733,765302,2713933,63498
173,23-05-2020,India,3621245,781975,2774801,64469
174,24-05-2020,India,3691166,785996,2839882,65288
175,25-05-2020,India,3769523,801282,2901908,66333
176,26-05-2020,India,3853406,815538,2970492,67376
177,27-05-2020,India,3936747,831124,3037151,68472
178,28-05-2020,India,4023179,846395,3107223,69561
179,29-05-2020,India,4113811,862320,3180865,70626
180,30-05-2020,India,4204613,882542,3250429,71642
181,31-05-2020,India,4280422,883697,3323950,72775
182,01-06-2020,India,4370128,897394,3398844,73890
183,02-06-2020,India,4465863,919018,3471783,75062
184,03-06-2020,India,4562414,943480,3542663,76271
185,04-06-2020,India,4659984,958316,3624196,77472
186,05-06-2020,India,4754356,973175,3702595,78586
187,06-06-2020,India,4846427,986598,3780107,79722
188,07-06-2020,India,4930236,990061,3859399,80776
189,08-06-2020,India,5020359,995933,3942360,82066
190,09-06-2020,India,5118253,1009976,4025079,83198
191,10-06-2020,India,5214677,1017754,4112551,84372
